sentence,amount_raw,amount_number,amount_unit,percentage,ministry,schemes,top_keywords,entities
"GOVERNMENT OF INDIA
BUDGET 2025-2026
SPEECH
OF
NIRMALA SITHARAMAN
MINISTER OF FINANCE
February 1,  2025
 
CONTENTS  
 
PART – A 
 Page No.",,,,,,February; Page,2025; minister; finance; budget,2025-2026(DATE); February 1(DATE); 2025(DATE)
"Introduction  1 
Budget Theme  1 
Agriculture as the 1st engine  3 
MSMEs as the 2nd engine  6 
Investment as the 3rd engine  8 
A. Investing in People  8 
B. Investing in  the Economy  10 
C. Investing in Innovation  14 
Exports as the 4th engine  15 
Reforms as the Fuel  16 
Fiscal Policy  18 
 
 
PART –",,,,,Agriculture,Introduction; Budget Theme; Agriculture; Investment; Investing; People; Economy; Innovation; Exports; Reforms; Fuel; Fiscal Policy,engine; investing; 1st engine; exports 4th,"1(CARDINAL); 1(CARDINAL); 1st(ORDINAL); 3(CARDINAL); 2nd(ORDINAL); 6(CARDINAL); 3rd(ORDINAL); 8 
A. Investing(PERCENT); 14(CARDINAL); 4th(ORDINAL); 15(CARDINAL); 18(CARDINAL)"
"B 
Indirect taxes  20 
Direct Taxes   23 
 
Annexure to Part -A 29 
Annexure to Part -B 31 
 
  
 
 
Budget 202 5-2026 
 
Speech of  
Nirmala Sitharaman  
Minister of Finance  
February 1 , 202 5 
Hon’ble Speaker,  
 I present the Budget for 2025 -26.",,,,,"Finance  
February","Indirect; Direct Taxes; Annexure; Part; Budget; Speech; Nirmala Sitharaman  
Minister; Finance  
February; Hon; Speaker",taxes; annexure; budget; indirect taxes,20(CARDINAL); Direct Taxes(ORG); 23(CARDINAL); 29(CARDINAL); 31(CARDINAL); Budget(ORG); Nirmala Sitharaman(PERSON); February 1(DATE); 202 5(CARDINAL); 2025(DATE)
"Introduction  
1.",,,,,,Introduction,,1(CARDINAL)
"This Budget continues our Government ’s efforts to:  
a) accelerate growth,  
b) secure inclusive development,  
c) invigorate private sector investments,  
d) uplift household sentiments, and 
e) enhance spending power of India’s rising middle class.",,,,,,This Budget; Government; India,inclusive; power; rising; efforts,Budget(ORG); Government(ORG); India(GPE)
"Together, we embark on a journey to unlock our nation’s tremendous 
potential for greater prosperity and global positioning under the leadership of 
Hon’ble Prime Minister Shri Narendra Modi.",,,,,,Together; Hon; Prime Minister Shri Narendra; Modi,greater; modi; potential; prime,Shri Narendra Modi(PERSON)
"As we complete the first quarter of the 21st century, continuing 
geopolitical headwinds suggest lower  global economic growth over the 
medium term.",,,,,,,quarter; economic; growth; term,the first quarter of the 21st century(DATE)
"However, our aspiration for a Viksit Bharat inspires us, and the 
transformative work we have done during our Government ’s first two terms 
guides us, to march forward resolutely.",,,,,,However; Viksit Bharat; Government,terms; forward; viksit; viksit bharat,Government(ORG); first(ORDINAL); two(CARDINAL)
"Budget Theme  
4.",,,,,,Budget Theme,budget,4(CARDINAL)
Our economy is the fastest -growing among all major global economies.,,,,,,Our,economy; global,
